key,total_opinion,TRUE_polar_ans,FALSE_polar_ans,accuracy,TP,TN,FP,FN,Positive,Negative
oyster,37,32,5,86.49%,30,2,1,4,31,6
food,21,19,2,90.48%,12,7,1,1,13,8
place,15,13,2,86.67%,11,2,1,1,12,3
service,11,10,1,90.91%,10,0,1,0,11,0
staff,8,6,2,75.00%,6,0,0,2,6,2
gumbo,8,6,2,75.00%,5,1,0,2,5,3
line,6,5,1,83.33%,1,4,0,1,1,5
server,6,6,0,100.00%,5,1,0,0,5,1
everything,6,4,2,66.67%,4,0,0,2,4,2
experience,6,5,1,83.33%,3,2,0,1,3,3
chargrilled,5,5,0,100.00%,5,0,0,0,5,0
wait,5,3,2,60.00%,2,1,0,2,2,3
atmosphere,5,5,0,100.00%,3,2,0,0,3,2
seafood,4,2,2,50.00%,2,0,0,2,2,2
crab,4,4,0,100.00%,4,0,0,0,4,0
jambalaya,4,3,1,75.00%,2,1,1,0,3,1
price,4,4,0,100.00%,3,1,0,0,3,1
po,3,3,0,100.00%,3,0,0,0,3,0
boy,3,3,0,100.00%,3,0,0,0,3,0
fish,3,1,2,33.33%,1,0,0,2,1,2
sauce,3,3,0,100.00%,3,0,0,0,3,0
restaurant,3,3,0,100.00%,3,0,0,0,3,0
review,3,3,0,100.00%,2,1,0,0,2,1
shrimp,3,2,1,66.67%,2,0,0,1,2,1
overall,2,1,1,50.00%,1,0,0,1,1,1
options,2,2,0,100.00%,2,0,0,0,2,0
medley,2,2,0,100.00%,2,0,0,0,2,0
bar,2,2,0,100.00%,1,1,0,0,1,1
grilled,2,1,1,50.00%,0,1,1,0,1,1
people,2,2,0,100.00%,2,0,0,0,2,0
beans,2,2,0,100.00%,1,1,0,0,1,1
host,2,2,0,100.00%,2,0,0,0,2,0
noon,2,2,0,100.00%,2,0,0,0,2,0
spot,2,2,0,100.00%,1,1,0,0,1,1
house,2,2,0,100.00%,2,0,0,0,2,0
acme,2,2,0,100.00%,2,0,0,0,2,0
fried,2,2,0,100.00%,2,0,0,0,2,0
amount,2,1,1,50.00%,1,0,1,0,2,0
charbroiled,2,1,1,50.00%,1,0,0,1,1,1
local,2,2,0,100.00%,2,0,0,0,2,0
entire,2,0,2,0.00%,0,0,0,2,0,2
waitress,1,1,0,100.00%,1,0,0,0,1,0
chowder,1,1,0,100.00%,1,0,0,0,1,0
etouffé,1,0,1,0.00%,0,0,1,0,1,0
shucker,1,1,0,100.00%,1,0,0,0,1,0
claws,1,1,0,100.00%,1,0,0,0,1,0
suggestion,1,1,0,100.00%,1,0,0,0,1,0
homes,1,1,0,100.00%,1,0,0,0,1,0
bussers,1,1,0,100.00%,1,0,0,0,1,0
corn,1,1,0,100.00%,1,0,0,0,1,0
ambiance,1,1,0,100.00%,1,0,0,0,1,0
etouffee,1,1,0,100.00%,1,0,0,0,1,0
orleans,1,1,0,100.00%,1,0,0,0,1,0
whole,1,1,0,100.00%,0,1,0,0,0,1
headache,1,1,0,100.00%,0,1,0,0,0,1
visit,1,1,0,100.00%,0,1,0,0,0,1
waiting,1,1,0,100.00%,1,0,0,0,1,0
portions,1,1,0,100.00%,0,1,0,0,0,1
also,1,1,0,100.00%,0,1,0,0,0,1
pretentiousness,1,1,0,100.00%,0,1,0,0,0,1
sandwich,1,1,0,100.00%,1,0,0,0,1,0
charbbq,1,1,0,100.00%,1,0,0,0,1,0
soooooo,1,1,0,100.00%,1,0,0,0,1,0
rest,1,1,0,100.00%,0,1,0,0,0,1
fan,1,0,1,0.00%,0,0,0,1,0,1
wet,1,1,0,100.00%,1,0,0,0,1,0
poboy,1,1,0,100.00%,1,0,0,0,1,0
smell,1,0,1,0.00%,0,0,1,0,1,0
well,1,1,0,100.00%,0,1,0,0,0,1
plates,1,0,1,0.00%,0,0,1,0,1,0
rice,1,1,0,100.00%,0,1,0,0,0,1
meal,1,0,1,0.00%,0,0,1,0,1,0
street,1,1,0,100.00%,0,1,0,0,0,1
parking,1,1,0,100.00%,0,1,0,0,0,1
timing,1,1,0,100.00%,1,0,0,0,1,0
platter,1,1,0,100.00%,1,0,0,0,1,0
garlic,1,1,0,100.00%,1,0,0,0,1,0
environment,1,0,1,0.00%,0,0,0,1,0,1
quality,1,0,1,0.00%,0,0,0,1,0,1
cheese,1,1,0,100.00%,1,0,0,0,1,0
mkt,1,1,0,100.00%,1,0,0,0,1,0
shooter,1,1,0,100.00%,1,0,0,0,1,0
fast,1,1,0,100.00%,1,0,0,0,1,0
charred,1,0,1,0.00%,0,0,0,1,0,1
item,1,1,0,100.00%,1,0,0,0,1,0
hair,1,1,0,100.00%,1,0,0,0,1,0
texture,1,1,0,100.00%,1,0,0,0,1,0
cravings,1,1,0,100.00%,1,0,0,0,1,0
toes,1,1,0,100.00%,1,0,0,0,1,0
cakes,1,1,0,100.00%,1,0,0,0,1,0
lots,1,1,0,100.00%,1,0,0,0,1,0
vibes,1,1,0,100.00%,1,0,0,0,1,0
long,1,1,0,100.00%,0,1,0,0,0,1
maker,1,1,0,100.00%,1,0,0,0,1,0
crabmeat,1,1,0,100.00%,1,0,0,0,1,0
